No;Provinsi;Kab/Kota;Kecamatan;Kelurahan;;;
1;BANTEN;KOTA CILEGON;CIBEBER;BULAKAN;;;
2;BANTEN;KOTA CILEGON;CIBEBER;CIBEBER;;;
3;BANTEN;KOTA CILEGON;CIBEBER;CIKERAI;;;
4;BANTEN;KOTA CILEGON;CIBEBER;KALITIMBANG;;;
5;BANTEN;KOTA CILEGON;CIBEBER;KARANGASEM;;;
6;BANTEN;KOTA CILEGON;CIBEBER;KEDALEMAN;;;
7;BANTEN;KOTA CILEGON;CILEGON;BAGENDUNG;;;
8;BANTEN;KOTA CILEGON;CILEGON;BENDUNGAN;;;
9;BANTEN;KOTA CILEGON;CILEGON;CIWADUK;;;
10;BANTEN;KOTA CILEGON;CILEGON;CIWEDUS;;;
11;BANTEN;KOTA CILEGON;CILEGON;KETILENG;;;
12;BANTEN;KOTA CILEGON;CITANGKIL;CITANGKIL;;;
13;BANTEN;KOTA CILEGON;CITANGKIL;DERINGO;;;
14;BANTEN;KOTA CILEGON;CITANGKIL;KEBONSARI;;;
15;BANTEN;KOTA CILEGON;CITANGKIL;LEBAKDENOK;;;
16;BANTEN;KOTA CILEGON;CITANGKIL;SAMANGRAYA;;;
17;BANTEN;KOTA CILEGON;CITANGKIL;TAMANBARU;;;
18;BANTEN;KOTA CILEGON;CITANGKIL;WARNASARI;;;
19;BANTEN;KOTA CILEGON;CIWANDAN;BANJAR NEGARA;;;
20;BANTEN;KOTA CILEGON;CIWANDAN;GUNUNGSUGIH;;;
21;BANTEN;KOTA CILEGON;CIWANDAN;KEPUH;;;
22;BANTEN;KOTA CILEGON;CIWANDAN;KUBANGSARI;;;
23;BANTEN;KOTA CILEGON;CIWANDAN;RANDAKARI;;;
24;BANTEN;KOTA CILEGON;CIWANDAN;TEGALRATU;;;
25;BANTEN;KOTA CILEGON;GROGOL;GEREM;;;
26;BANTEN;KOTA CILEGON;GROGOL;GEROGOL;;;
27;BANTEN;KOTA CILEGON;GROGOL;KOTASARI;;;
28;BANTEN;KOTA CILEGON;GROGOL;RAWA ARUM;;;
29;BANTEN;KOTA CILEGON;JOMBANG;GEDONG DALEM;;;
30;BANTEN;KOTA CILEGON;JOMBANG;JOMBANG WETAN;;;
31;BANTEN;KOTA CILEGON;JOMBANG;MASIGIT;;;
32;BANTEN;KOTA CILEGON;JOMBANG;PANGGUNG RAWI;;;
33;BANTEN;KOTA CILEGON;JOMBANG;SUKMAJAYA;;;
34;BANTEN;KOTA CILEGON;PULOMERAK;LEBAK GEDE;;;
35;BANTEN;KOTA CILEGON;PULOMERAK;MEKARSARI;;;
36;BANTEN;KOTA CILEGON;PULOMERAK;SURALAYA;;;
37;BANTEN;KOTA CILEGON;PULOMERAK;TAMANSARI;;;
38;BANTEN;KOTA CILEGON;PURWAKARTA;KEBONDALEM;;;
39;BANTEN;KOTA CILEGON;PURWAKARTA;KOTABUMI;;;
40;BANTEN;KOTA CILEGON;PURWAKARTA;PABEAN;;;
41;BANTEN;KOTA CILEGON;PURWAKARTA;PURWAKARTA;;;
42;BANTEN;KOTA CILEGON;PURWAKARTA;RAMANUJU;;;
43;BANTEN;KOTA CILEGON;PURWAKARTA;TEGAL BUNDER;;;
44;BANTEN;KOTA SERANG;CIPOCOK JAYA;BANJARAGUNG;;;
45;BANTEN;KOTA SERANG;CIPOCOK JAYA;BANJARSARI;;;
46;BANTEN;KOTA SERANG;CIPOCOK JAYA;CIPOCOK JAYA;;;
47;BANTEN;KOTA SERANG;CIPOCOK JAYA;DALUNG;;;
48;BANTEN;KOTA SERANG;CIPOCOK JAYA;GELAM;;;
49;BANTEN;KOTA SERANG;CIPOCOK JAYA;KARUNDANG;;;
50;BANTEN;KOTA SERANG;CIPOCOK JAYA;PANANCANGAN;;;
51;BANTEN;KOTA SERANG;CIPOCOK JAYA;TEMBONG;;;
52;BANTEN;KOTA SERANG;CURUG;CILAKU;;;
53;BANTEN;KOTA SERANG;CURUG;CIPETE;;;
54;BANTEN;KOTA SERANG;CURUG;CURUG;;;
55;BANTEN;KOTA SERANG;CURUG;CURUGMANIS;;;
56;BANTEN;KOTA SERANG;CURUG;KAMANISAN;;;
57;BANTEN;KOTA SERANG;CURUG;PANCALAKSANA;;;
58;BANTEN;KOTA SERANG;CURUG;SUKAJAYA;;;
59;BANTEN;KOTA SERANG;CURUG;SUKALAKSANA;;;
60;BANTEN;KOTA SERANG;CURUG;SUKAWANA;;;
61;BANTEN;KOTA SERANG;CURUG;TINGGAR;;;
62;BANTEN;KOTA SERANG;KASEMEN;BANTEN;;;
63;BANTEN;KOTA SERANG;KASEMEN;BENDUNG;;;
64;BANTEN;KOTA SERANG;KASEMEN;KASEMEN;;;
65;BANTEN;KOTA SERANG;KASEMEN;KASUNYATAN;;;
66;BANTEN;KOTA SERANG;KASEMEN;KILASAH;;;
67;BANTEN;KOTA SERANG;KASEMEN;MARGALUYU;;;
68;BANTEN;KOTA SERANG;KASEMEN;MESJID PRIYAYI;;;
69;BANTEN;KOTA SERANG;KASEMEN;SAWAH LUHUR;;;
70;BANTEN;KOTA SERANG;KASEMEN;TERUMBU;;;
71;BANTEN;KOTA SERANG;KASEMEN;WARUNG JAUD;;;
72;BANTEN;KOTA SERANG;SERANG;CIMUNCANG;;;
73;BANTEN;KOTA SERANG;SERANG;CIPARE;;;
74;BANTEN;KOTA SERANG;SERANG;KAGUNGAN;;;
75;BANTEN;KOTA SERANG;SERANG;KALIGANDU;;;
76;BANTEN;KOTA SERANG;SERANG;KOTABARU;;;
77;BANTEN;KOTA SERANG;SERANG;LONTARBARU;;;
78;BANTEN;KOTA SERANG;SERANG;LOPANG;;;
79;BANTEN;KOTA SERANG;SERANG;SERANG;;;
80;BANTEN;KOTA SERANG;SERANG;SUKAWANA;;;
81;BANTEN;KOTA SERANG;SERANG;SUMURPECUNG;;;
82;BANTEN;KOTA SERANG;SERANG;TERONDOL;;;
83;BANTEN;KOTA SERANG;SERANG;UNYUR;;;
84;BANTEN;KOTA SERANG;TAKTAKAN;CILOWONG;;;
85;BANTEN;KOTA SERANG;TAKTAKAN;DRANGONG;;;
86;BANTEN;KOTA SERANG;TAKTAKAN;KALANG ANYAR;;;
87;BANTEN;KOTA SERANG;TAKTAKAN;KURANJI;;;
88;BANTEN;KOTA SERANG;TAKTAKAN;LIALANG;;;
89;BANTEN;KOTA SERANG;TAKTAKAN;PANCUR;;;
90;BANTEN;KOTA SERANG;TAKTAKAN;PANGGUNGJATI;;;
91;BANTEN;KOTA SERANG;TAKTAKAN;SAYAR;;;
92;BANTEN;KOTA SERANG;TAKTAKAN;SEPANG;;;
93;BANTEN;KOTA SERANG;TAKTAKAN;TAKTAKAN;;;
94;BANTEN;KOTA SERANG;TAKTAKAN;TAMANBARU;;;
95;BANTEN;KOTA SERANG;TAKTAKAN;UMBUL TENGAH;;;
96;BANTEN;KOTA SERANG;WALANTAKA;CIGOONG;;;
97;BANTEN;KOTA SERANG;WALANTAKA;KALODRAN;;;
98;BANTEN;KOTA SERANG;WALANTAKA;KEPUREN;;;
99;BANTEN;KOTA SERANG;WALANTAKA;KIARA;;;
100;BANTEN;KOTA SERANG;WALANTAKA;LEBAKWANGI;;;
101;BANTEN;KOTA SERANG;WALANTAKA;NYAPAH;;;
102;BANTEN;KOTA SERANG;WALANTAKA;PABUARAN;;;
103;BANTEN;KOTA SERANG;WALANTAKA;PAGERAGUNG;;;
104;BANTEN;KOTA SERANG;WALANTAKA;PASULUHAN;;;
105;BANTEN;KOTA SERANG;WALANTAKA;PENGAMPELAN;;;
106;BANTEN;KOTA SERANG;WALANTAKA;PIPITAN;;;
107;BANTEN;KOTA SERANG;WALANTAKA;TEGALSARI;;;
108;BANTEN;KOTA SERANG;WALANTAKA;TERITIH;;;
109;BANTEN;KOTA SERANG;WALANTAKA;WALANTAKA;;;
110;BANTEN;KOTA TANGERANG;BATUCEPER;BATUCEPER;;;
111;BANTEN;KOTA TANGERANG;BATUCEPER;BATUJAYA;;;
112;BANTEN;KOTA TANGERANG;BATUCEPER;BATUSARI;;;
113;BANTEN;KOTA TANGERANG;BATUCEPER;KEBON BESAR;;;
114;BANTEN;KOTA TANGERANG;BATUCEPER;PORIS JAYA;;;
115;BANTEN;KOTA TANGERANG;BATUCEPER;PORISGAGA;;;
116;BANTEN;KOTA TANGERANG;BATUCEPER;PORISGAGA BARU;;;
117;BANTEN;KOTA TANGERANG;BENDA;BELENDUNG;;;
118;BANTEN;KOTA TANGERANG;BENDA;BENDA;;;
119;BANTEN;KOTA TANGERANG;BENDA;JURUMUDI;;;
120;BANTEN;KOTA TANGERANG;BENDA;JURUMUDI BARU;;;
121;BANTEN;KOTA TANGERANG;BENDA;PAJANG;;;
122;BANTEN;KOTA TANGERANG;CIBODAS;CIBODAS;;;
123;BANTEN;KOTA TANGERANG;CIBODAS;CIBODAS BARU;;;
124;BANTEN;KOTA TANGERANG;CIBODAS;CIBODASARI;;;
125;BANTEN;KOTA TANGERANG;CIBODAS;JATIUWUNG;;;
126;BANTEN;KOTA TANGERANG;CIBODAS;PANUNGGANGAN BARAT;;;
127;BANTEN;KOTA TANGERANG;CIBODAS;UWUNG JAYA;;;
128;BANTEN;KOTA TANGERANG;CILEDUG;PANINGGILAN;;;
129;BANTEN;KOTA TANGERANG;CILEDUG;PANINGGILAN UTARA;;;
130;BANTEN;KOTA TANGERANG;CILEDUG;PARUNG SERAB;;;
131;BANTEN;KOTA TANGERANG;CILEDUG;SUDIMARA BARAT;;;
132;BANTEN;KOTA TANGERANG;CILEDUG;SUDIMARA JAYA;;;
133;BANTEN;KOTA TANGERANG;CILEDUG;SUDIMARA SELATAN;;;
