No;Provinsi;Kab/Kota;Kecamatan;Kelurahan
1482;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;CIPAYUNG
1483;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;CIPUTAT
1484;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;JOMBANG
1485;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;SARUA
1486;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;SARUA INDAH
1487;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;SAWAH
1488;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;SAWAH BARU
1489;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT TIMUR;CEMPAKA PUTIH
1490;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT TIMUR;CIREUNDEU
1491;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT TIMUR;PISANGAN
1492;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT TIMUR;PONDOK RANJI
1493;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT TIMUR;REMPOA
1494;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT TIMUR;RENGAS
1495;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;BAMBU APUS
1496;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;BENDA BARU
1497;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;KEDAUNG
1498;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;PAMULANG BARAT
1499;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;PAMULANG TIMUR
1500;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;PONDOK BENDA
1501;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;PONDOK CABE ILIR
1502;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;PONDOK CABE UDIK
1503;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;JURANG MANGGU BARAT
1504;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;JURANG MANGGU TIMUR
1505;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PERIGI
1506;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PERIGI BARU
1507;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK AREN
1508;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK BETUNG
1509;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK JAYA
1510;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK KACANG BARAT
1511;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK KACANG TIMUR
1512;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK KARYA
1513;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PONDOK PUCUNG
1514;BANTEN;KOTA TANGERANG SELATAN;SERPONG;BUARAN
1515;BANTEN;KOTA TANGERANG SELATAN;SERPONG;CIATER
1516;BANTEN;KOTA TANGERANG SELATAN;SERPONG;CILENGGANG
1517;BANTEN;KOTA TANGERANG SELATAN;SERPONG;LENGKONG GUDANG
1518;BANTEN;KOTA TANGERANG SELATAN;SERPONG;LENGKONG GUDANG TIMUR
1519;BANTEN;KOTA TANGERANG SELATAN;SERPONG;LENGKONG WETAN
1520;BANTEN;KOTA TANGERANG SELATAN;SERPONG;RAWA BUNTU
1521;BANTEN;KOTA TANGERANG SELATAN;SERPONG;RAWA MEKAR JAYA
1522;BANTEN;KOTA TANGERANG SELATAN;SERPONG;SERPONG
1523;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;JELUPANG
1524;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;LENGKONG KARYA
1525;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PAKU ALAM
1526;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PAKU JAYA
1527;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PAKULONAN
1528;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PONDOK JAGUNG
1529;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PONDOK JAGUNG TIMUR
1530;BANTEN;KOTA TANGERANG SELATAN;SETU;BABAKAN
1531;BANTEN;KOTA TANGERANG SELATAN;SETU;BAKTI JAYA
1532;BANTEN;KOTA TANGERANG SELATAN;SETU;KADEMANGAN
1533;BANTEN;KOTA TANGERANG SELATAN;SETU;KRANGGAN
1534;BANTEN;KOTA TANGERANG SELATAN;SETU;MUNCUL
1535;BANTEN;KOTA TANGERANG SELATAN;SETU;SETU
